OBJECT CLASS MEMBERSHIP
Obj.nr,		True class,	A1,	A2,	A3
	441		2	1	1	1
	442		2	1	1	1
	443		2	1	1	1
	444		2	1	1	1
	445		2	1	1	1
	446		2	1	1	1
	447		1	1	1	1
	448		2	1	1	1
	449		1	1	1	1
	450		2	1	1	1
	451		2	1	1	1
	452		2	1	1	1
	453		2	1	1	1
	454		1	1	1	1
	455		2	1	1	1
	456		2	1	1	1
	457		1	1	1	1
	458		2	1	1	1
	459		2	1	1	1
	460		2	1	1	1
	461		2	1	1	1
	462		1	1	1	1
	463		2	1	1	1
	464		1	1	1	1
	465		2	1	1	1
	466		2	1	1	1
	467		2	1	1	1
	468		2	1	1	1
	469		1	1	1	1
	470		1	1	1	1
	471		2	1	1	1
	472		2	1	1	1
	473		2	1	1	1
	474		2	1	1	1
	475		2	1	1	1
	476		2	1	1	1
	477		2	1	1	1
	478		2	1	1	1
	479		2	1	1	1
	480		2	1	1	1
	481		2	1	1	1
	482		2	1	1	1
	483		2	1	1	1
	484		2	1	1	1
	485		2	1	1	1
	486		2	1	1	1
	487		2	1	1	1
	488		2	1	1	1
	489		2	1	1	1
	490		2	1	1	1
	491		1	1	1	1
	492		2	1	1	1
	493		2	1	1	1
	494		2	1	1	1
	495		2	1	1	1
	496		2	1	1	1
	497		1	1	1	1
	498		2	1	1	1
	499		2	1	1	1
	500		1	1	1	1
	501		1	1	1	1
	502		1	1	1	1
	503		1	1	1	1
	504		1	1	1	1
	505		2	1	1	1
	506		1	1	1	1
	507		3	1	1	1
	508		3	1	1	1
	509		2	1	1	1
	510		1	1	1	1
	511		2	1	1	1
	512		1	1	1	1
	513		3	1	1	1
	514		3	1	1	1
	515		3	1	1	1
	516		3	1	1	1
	517		3	1	1	1
	518		3	1	1	1
	519		3	1	1	1
	520		3	1	1	1
	521		3	1	1	1
	522		3	1	1	1
	523		3	1	1	1
	524		3	1	1	1
	525		3	1	1	1
	526		3	1	1	1
	527		3	1	1	1
	528		3	1	1	1
	529		3	1	1	1
	530		3	1	1	1
	531		3	1	1	1
	532		3	1	1	1
	533		3	1	1	1
	534		3	1	1	1
	535		3	1	1	1
	536		3	1	1	1
	537		3	1	1	1
	538		3	1	1	1
	539		3	1	1	1
